s2_p1
szum gauss.
3.14
0.0 ; 0.39892233378608216  
0.44 ; 0.36052696246164795  
0.9 ; 0.26368804211381813  
1.36 ; 0.15607969556042084  
1.8 ; 0.07753789199013399  
2.26 ; 0.030336959230531636  
2.72 ; 0.009605796763539587  
3.18 ; 0.0024614897246407006  
3.62 ; 5.490129473569587E-4  
4.08 ; 9.299279571844591E-5  
4.54 ; 1.2747332381833466E-5  
5.0 ; 1.4141406395950035E-6  
5.44 ; 1.4161007130161176E-7  
5.9 ; 1.0384115717656327E-8  
6.36 ; 6.162375872274115E-10  
6.8 ; 3.3920942032542887E-11  
7.26 ; 1.3306034787228322E-12  
7.72 ; 4.2240854198927025E-14  
8.18 ; 1.085225567508325E-15  
8.62 ; 2.6819872949525163E-17  
9.08 ; 4.554556833589326E-19  
9.54 ; 8.503421446798956E-23  
